BPM,Gaming,Concentration,Sleep,Exercise,Tiredness,Stress,Happiness
66.0,7.0,5.0,7.0,6.0,5.0,7.0,5.0
67.0,8.0,7.0,5.0,7.0,3.0,5.0,3.0
68.0,5.0,7.0,8.0,7.0,7.0,0.0,10.0
72.0,6.0,4.0,5.0,4.0,5.0,4.0,6.0
72.0,8.0,5.0,7.0,4.0,6.0,5.0,8.0
73.0,6.0,6.0,7.0,6.0,3.0,5.0,3.0
80.0,10.0,7.0,7.0,2.0,2.0,6.0,4.0
82.0,5.0,6.0,6.0,5.0,6.0,6.0,2.0
88.0,3.0,5.0,9.0,3.0,1.0,8.0,2.0
100.0,9.0,5.0,6.0,4.0,8.0,3.0,7.0
90.0,6.0,7.0,6.0,3.0,6.0,3.0,7.0
74.0,2.0,6.0,7.0,4.0,4.0,7.0,2.0
120.0,10.0,6.0,8.0,2.0,5.0,5.0,10.0
50.0,1.0,8.0,8.0,10.0,2.0,3.0,9.0
110.0,6.0,0.0,2.0,0.0,10.0,10.0,0.0
120.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0
76.0,5.0,8.0,8.0,7.0,7.0,0.0,9.0
70.0,9.0,4.0,5.0,4.0,5.0,3.0,6.0
79.0,10.0,3.0,8.0,3.0,8.0,3.0,8.0
66.4513,7.0805,5.4685,7.1626,6.0896,4.9109,7.2121,4.7338
67.4725,8.1754,6.5782,5.206,6.7871,2.6608,5.3191,3.0579
67.8345,5.1317,7.4736,8.1895,7.3353,7.4228,0.1871,10.13
72.4792,5.9051,4.1035,4.8859,3.5071,4.7158,3.9835,6.4418
72.0943,8.0356,4.5046,6.566,3.7816,6.096,4.9405,7.5335
72.9389,6.2542,5.7518,7.2531,6.1416,3.3139,4.875,2.6431
80.1941,10.0744,6.7832,7.3263,2.4923,2.3201,6.1831,4.1863
81.6843,5.155,5.6731,5.9663,5.2991,5.5439,6.3163,1.8987
87.6063,2.8773,4.562,8.8714,2.7816,1.4114,7.6222,1.871
99.9064,9.371,5.3048,6.0265,4.3682,7.9321,3.274,7.1239
90.3801,6.1571,6.5965,6.1027,2.6159,5.7567,2.5135,7.4683
73.6703,1.8353,6.2909,7.0425,3.6795,3.5189,7.0422,1.8561
119.7933,10.4554,5.6953,8.3894,1.7193,4.6982,5.0419,10.3351
49.5759,0.7605,8.4121,7.9714,9.9959,1.7267,3.4129,8.9175
110.2981,6.2835,-0.4585,1.9467,-0.4679,9.6528,10.369,-0.1977
119.8602,9.7445,0.4583,-0.2022,0.4018,0.1221,10.1605,-0.3627
76.2826,4.8791,7.7726,7.9506,7.4772,7.3913,-0.4012,8.5482
69.756,9.2701,3.8847,5.3609,4.0181,4.9322,3.4753,5.8364
79.3672,9.5637,3.3461,7.9287,3.4272,8.0392,3.0922,7.5755
65.8389,7.4621,5.1151,7.4024,5.8593,4.7118,6.7547,4.9207
66.5795,8.0519,6.7226,4.7538,6.7723,3.0874,4.5446,3.4447
67.6644,4.6127,7.0654,7.7028,7.3935,7.1712,0.4833,9.6417
72.4926,6.0028,4.3274,4.9752,4.2867,5.09,3.8324,6.2582
72.2886,8.0932,5.0602,7.2274,4.4152,5.8973,4.638,7.9748
72.6717,6.0525,5.9813,7.2244,6.4948,3.357,5.4808,2.8421
80.3793,10.1729,7.1169,6.708,1.7944,2.1272,5.7898,4.4972
81.5717,5.4249,6.2129,5.7076,4.7294,6.0918,6.0397,1.5381
87.832,3.4902,5.2048,9.2907,2.8643,1.0189,8.3157,2.498
99.688,8.8694,5.2413,6.366,4.2336,8.4646,3.1135,7.4024
90.4707,5.9438,7.4829,6.1578,2.8243,5.9049,3.4506,7.4518
74.0316,2.1243,5.8277,6.704,3.9145,3.9855,6.6652,2.4207
120.399,10.2435,5.7301,8.335,2.4778,4.9657,4.9456,10.3452
49.5984,1.2569,8.1652,7.5652,10.1091,2.0829,3.2942,8.5156
109.5843,6.2485,0.3202,1.5982,0.0726,10.158,9.7577,0.228
120.1006,9.7702,-0.3447,-0.27,0.0476,-0.388,9.9823,-0.3532
75.7842,4.8285,7.741,7.5752,6.8781,6.7849,0.4429,8.6316
69.6546,9.2318,4.2822,5.4824,3.5595,5.3728,2.7234,6.268
79.1844,9.5321,3.1559,8.2316,2.9214,8.0825,2.5987,7.7387
65.8703,7.3046,5.1123,7.4939,5.6179,4.902,6.5875,4.9643
67.3704,7.6769,6.5298,5.1504,6.5835,2.5123,5.4978,3.0531
68.4573,4.9067,6.5328,7.6282,6.5523,6.7957,-0.4908,10.3084
72.1921,5.6414,3.9696,4.5247,4.2519,5.1445,3.5146,5.6146
72.1739,8.4584,5.4547,7.3877,4.4265,5.6183,5.4136,8.3217
72.8093,6.4964,5.9692,7.0237,6.1566,3.2078,4.5038,3.1838
79.9479,9.6978,6.7366,7.4638,2.4297,2.2863,6.3645,4.0059
82.3333,5.2337,6.1304,5.503,5.2332,5.8112,5.8985,2.3051
88.3145,2.7549,4.6316,9.0956,2.9842,0.9405,7.6498,1.7464
100.4768,8.7489,4.9695,6.0875,3.7237,7.6686,3.2821,6.5282
89.8688,6.4952,6.5929,5.6044,2.8134,6.4014,3.3348,6.8279
73.7779,1.6187,5.6726,7.1854,4.2061,4.137,7.205,1.9269
